"","season","off","fumbles","fep","fumble_rate_100","post"
"155",2004,"STL",22,804,2.7363184079602,0
"156",2004,"TB",23,780,2.94871794871795,0
"157",2004,"TEN",24,825,2.90909090909091,0
"158",2004,"WAS",19,799,2.37797246558198,0
"159",2005,"ARI",23,827,2.78113663845224,0
"160",2005,"ATL",20,822,2.4330900243309,0
"161",2005,"BAL",22,828,2.65700483091787,0
"162",2005,"BUF",21,741,2.83400809716599,0
"163",2005,"CAR",20,786,2.54452926208651,0
"164",2005,"CHI",16,738,2.1680216802168,0
"165",2005,"CIN",16,842,1.90023752969121,0
"166",2005,"CLE",24,743,3.23014804845222,0
"167",2005,"DAL",31,870,3.5632183908046,0
"168",2005,"DEN",14,846,1.6548463356974,0
"169",2005,"DET",15,734,2.04359673024523,0
"170",2005,"GB",22,806,2.72952853598015,0
"171",2005,"HOU",21,780,2.69230769230769,0
"172",2005,"IND",9,835,1.07784431137725,0
"173",2005,"JAC",21,820,2.5609756097561,0
"174",2005,"KC",17,870,1.95402298850575,0
"175",2005,"MIA",24,763,3.14547837483617,0
"176",2005,"MIN",17,763,2.22804718217562,0
"177",2005,"NE",16,823,1.94410692588092,0
"178",2005,"NO",14,771,1.81582360570687,0
"179",2005,"NYG",14,790,1.77215189873418,0
"180",2005,"NYJ",26,711,3.65682137834037,0
"181",2005,"OAK",20,725,2.75862068965517,0
"182",2005,"PHI",28,748,3.74331550802139,0
"183",2005,"PIT",16,811,1.97287299630086,0
"184",2005,"SD",15,835,1.79640718562874,0
"185",2005,"SEA",14,857,1.63360560093349,0
"186",2005,"SF",21,680,3.08823529411765,0
"187",2005,"STL",20,821,2.43605359317905,0
"188",2005,"TB",13,801,1.62297128589263,0
"189",2005,"TEN",21,787,2.66836086404066,0
"190",2005,"WAS",22,834,2.6378896882494,0
"191",2006,"ARI",24,781,3.0729833546735,0
"192",2006,"ATL",15,811,1.84956843403206,0
"193",2006,"BAL",19,824,2.30582524271845,0
"194",2006,"BUF",23,740,3.10810810810811,0
"195",2006,"CAR",16,780,2.05128205128205,0
"196",2006,"CHI",14,810,1.72839506172839,0
"197",2006,"CIN",23,799,2.87859824780976,0
"198",2006,"CLE",21,750,2.8,0
"199",2006,"DAL",15,819,1.83150183150183,0
"200",2006,"DEN",26,778,3.34190231362468,0
"201",2006,"DET",21,740,2.83783783783784,0
"202",2006,"GB",19,805,2.36024844720497,0
"203",2006,"HOU",24,804,2.98507462686567,0
